site,lat_dms,lon_dms,lat_wgs84,lon_wgs84
LSZH,N47°27.48',E8°32.88',47.458000,8.548000
LSMP,N46°50.55',E6°54.82',46.842500,6.913667
LSMM,N46°44.50',E8°6.50',46.741667,8.108333
LSZT,N47°31.48',E9°0.22',47.524667,9.003667
LSPA,N47°34.45',E9°2.85',47.574167,9.047500
LSTS,N46°29.85',E7°24.75',46.497500,7.412500
LSGP,N46°24.38',E6°15.48',46.406333,6.258000
LSZV,N47°30.53',E9°15.77',47.508833,9.262833
LSGN,N46°57.45',E6°51.87',46.957500,6.864500
LSPN,N47°13.60',E8°4.68',47.226667,8.078000
LSPL,N47°10.98',E7°44.50',47.183000,7.741667
LSGC,N47°5.05',E6°47.60',47.084167,6.793333
LSZB,N46°54.73',E7°29.97',46.912167,7.499500
LSZF,N47°26.60',E8°14.03',47.443333,8.233833
LSZS,N46°32.07',E9°53.05',46.534500,9.884167
LSZE,N47°0.90',E9°28.92',47.015000,9.482000
LSPV,N47°12.28',E8°52.05',47.204667,8.867500
LSTB,N46°58.77',E7°7.93',46.979500,7.132167
LSGL,N46°32.72',E6°37.00',46.545333,6.616667
LFSB,N47°35.40',E7°31.75',47.590000,7.529167
LSZP,N47°5.35',E7°17.40',47.089167,7.290000
LSGG,N46°14.30',E6°6.57',46.238333,6.109500
LSMD,N47°23.90',E8°38.90',47.398333,8.648333
LSME,N47°5.50',E8°18.30',47.091667,8.305000
LSZL,N46°9.90',E8°52.70',46.165000,8.878333
LSZX,N47°10.30',E9°2.37',47.171667,9.039500
LSPM,N46°30.75',E8°41.60',46.512500,8.693333
LSPO,N47°20.48',E7°53.07',47.341333,7.884500
LSGB,N46°15.50',E6°59.18',46.258333,6.986333
LSGY,N46°45.72',E6°36.80',46.762000,6.613333
LSZG,N47°10.88',E7°24.98',47.181333,7.416333
LSMA,N46°56.60',E8°17.00',46.943333,8.283333
LSGT,N46°35.65',E7°5.67',46.594167,7.094500
LSZU,N47°15.88',E8°18.15',47.264667,8.302500
LSZW,N46°45.38',E7°36.03',46.756333,7.600500
LSTO,N46°55.00',E6°36.92',46.916667,6.615333
LSTR,N46°35.42',E6°24.03',46.590333,6.400500
LSZR,N47°29.10',E9°33.72',47.485000,9.562000
LSZA,N46°0.22',E8°54.62',46.003667,8.910333
LSZC,N46°58.47',E8°23.82',46.974500,8.397000
LSZK,N47°22.58',E8°45.45',47.376333,8.757500
LSPD,N47°26.32',E7°29.48',47.438667,7.491333
LSPH,N47°30.90',E8°46.32',47.515000,8.772000
LSGK,N46°29.18',E7°14.92',46.486333,7.248667
LSZJ,N47°11.00',E7°5.45',47.183333,7.090833
LSZN,N47°14.33',E8°30.93',47.238833,8.515500
LSGR,N46°36.82',E7°40.67',46.613667,7.677833
LSZI,N47°30.53',E7°57.00',47.508833,7.950000
LSZO,N47°11.40',E8°12.28',47.190000,8.204667
LSPF,N47°41.43',E8°31.62',47.690500,8.527000
